what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705807090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1480705808420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1480705808885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480705810221
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480705811187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705812782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705814816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705818097
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480705819287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705819317
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480705820315
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480705820850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705821938
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480705823241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705831570
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480705831622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480705836417
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480705838466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705840218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705841503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705847249
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480705848333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705848370
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480705849302
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480705849823
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480705852193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705854035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705860215
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480705860272
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480705863841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705867065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705879092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1480705881672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705882676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705883972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480705891193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705892182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705906052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1480705908173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705911906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480705917368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1480705920156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705933946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705934191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705934224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705934261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705934295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705934329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705934356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705934389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705934424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480705934463
