what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709629321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709645065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480709647684
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480709648667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709650258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709651042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709653688
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480709654547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709654562
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480709655226
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480709655883
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480709658243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709668112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709723081
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480709723130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480709725832
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480709727157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709728884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709732838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709734656
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480709735946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709735965
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480709737160
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480709737730
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480709740213
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480709745350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480709747603
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480709748695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709750480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709751926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709754121
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480709755212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709755242
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480709756495
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480709757135
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480709759628
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480709766199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709775871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709801034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480709804145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480709804495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1480709804897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709829902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480709924320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1480710041638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710041653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710061969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480710125200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480710156985
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480710157963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710160099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710161279
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480710170034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480710173866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480710175953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710177570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710179494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710179679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710179952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710180371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710183916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710185876
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480710187138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480710187182
